---- Hitscan Log Start 2026-01-28 23:47:04 ----
---- Hitscan Log Start 2026-01-28 23:47:36 ----
---- Hitscan Log Start 2026-01-28 23:49:03 ----
---- Hitscan Log Start 2026-01-28 23:56:44 ----
---- Hitscan Log Start 2026-01-29 00:10:34 ----
---- Hitscan Log Start 2026-01-29 00:13:23 ----
---- Hitscan Log Start 2026-01-29 00:15:50 ----
---- Hitscan Log Start 2026-01-29 00:18:23 ----
---- Hitscan Log Start 2026-01-29 00:23:29 ----
---- Hitscan Log Start 2026-01-29 00:24:49 ----
---- Hitscan Log Start 2026-01-29 00:31:26 ----
---- Hitscan Log Start 2026-01-29 00:40:24 ----
[00:41:02.761] Bullet scan: owner=0 onGround=True start=(32625.8,4806.0) velLen=1.00 aimRot=-2.46 dir=(-0.78,-0.63) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:02.889] Bullet scan: owner=0 onGround=True start=(32625.3,4806.6) velLen=1.00 aimRot=-2.56 dir=(-0.84,-0.55) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.028] Bullet scan: owner=0 onGround=True start=(32624.1,4809.9) velLen=1.00 aimRot=-3.00 dir=(-0.99,-0.14) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.153] Bullet scan: owner=0 onGround=True start=(32624.2,4812.8) velLen=1.00 aimRot=2.91 dir=(-0.97,0.23) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.296] Bullet scan: owner=0 onGround=True start=(32624.3,4813.2) velLen=1.00 aimRot=2.87 dir=(-0.96,0.27) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.419] Bullet scan: owner=0 onGround=True start=(32624.0,4811.3) velLen=1.00 aimRot=3.10 dir=(-1.00,0.04) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.549] Bullet scan: owner=0 onGround=True start=(32624.1,4809.8) velLen=1.00 aimRot=-2.99 dir=(-0.99,-0.15) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.698] Bullet scan: owner=0 onGround=True start=(32625.0,4807.2) velLen=1.00 aimRot=-2.64 dir=(-0.88,-0.48) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.816] Bullet scan: owner=0 onGround=True start=(32622.1,4813.2) velLen=1.00 aimRot=2.86 dir=(-0.96,0.28) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:03.960] Bullet scan: owner=0 onGround=True start=(32614.6,4812.7) velLen=1.00 aimRot=2.93 dir=(-0.98,0.21) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
[00:41:04.086] Bullet scan: owner=0 onGround=True start=(32601.9,4811.3) velLen=1.00 aimRot=3.10 dir=(-1.00,0.04) ignoreTiles=False max=1728 tile=1728.0 npc=1728.0 dist=1728.0
